Alzheimer,Cancer,Chronic liver-cirrhosis,CLRD,Diabetes,Heart,Hypertension,Homicide,Influenza-pneumonia,Kidney,Parkinson,Pneumonitis,Septicemia,Stroke,Suicide,Unintentional,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10_Mean_24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr,Precipitation
-0.024904215,0.75862069,0.27184466,0.681818182,0.268115942,1,-0.333333333,-0.19047619,0.375451264,0.202020202,1,0.476923077,0.753521127,0.149870801,0.287581699,-0.010498688,-0.063492064,-0.024096385,-0.202020202,-0.24,-0.633333321,-0.80021155,-0.015151515,-0.166453265,0.04787234,-0.236521739,-0.826086957,0.337386019,0.057142856,-0.81
0.114583333,0.255319149,-0.862068966,-0.970588235,-0.113207547,0.45049505,1,0.611111111,0.529411765,0.243902439,-0.285714286,0.434782609,1,0,-0.452380952,0.105882353,0.545454545,0.142857143,0.5,-0.5,0.333333333,0.5,0.072874494,0,-0.144230769,-0.253581662,-0.201262826,-0.106342,-0.31292517,-0.43
-0.039772727,0.737704918,0.34375,0.372413793,0.733333333,-0.110497238,0.590909091,-0.130434783,0.608695652,0,-0.722222222,0.297297297,0.434782609,-0.141176471,0.211538462,0.974683544,0.06557377,-0.15,-0.484848485,0.666666667,0.5,-0.344827586,-0.55721393,0.210526316,-0.816326531,-0.448051948,-0.014705882,-0.064451158,-0.074074074,0.3
0.11790393,-0.120954003,0.818181818,0.254651163,0.384937238,0.11147116,0.922330097,-0.408163265,0.419928826,0.230088496,0.377192982,-0.4375,-0.040540541,-0.081132075,0.213235294,0.071428571,-0.819672131,-0.850000001,-0.230769231,-0.222222222,-0.901863343,-1,0.017857143,0.571428571,0,0,-0.098609355,-0.263959391,-0.25,-0.47
0.213592233,-0.288713911,0.101265823,0.466973886,0.375565611,0.117930205,0.448275862,0.785714286,0.694323144,0.879194631,0.03,-0.326666667,0.611570248,-0.208108108,0.050632911,0.429577465,-0.129659643,-0.203045685,-0.189519651,-0.545454545,-1,-0.891075041,-0.473933649,-0.789265982,-0.029952164,-0.042457343,-0.114087301,-0.184149184,-0.293233083,-0.43
-0.575342466,0.405714286,0.236111111,0.361702128,0.202205882,-0.018484288,0.607142857,-0.078947368,0.541899441,0.505376344,0.827586207,0.586666667,-0.225806452,-0.070652174,1,0.552083333,0.126237624,-0.173076923,0.098684211,-0.075,-0.857142833,-0.976562499,-0.416289593,-0.588401699,-0.010094638,-0.13046595,-0.071428571,-0.295597484,-0.272727273,-0.33
-0.295597484,-0.222222222,-0.052631579,-0.055776892,0.168539326,-0.004514673,1,0.5,0.5,-0.068181818,0.5,0.970588235,0.015384615,-0.14556962,-0.712962963,0.392156863,-1,-1,-1,-0.130434783,-1,-0.974658877,-0.044680851,-0.596899224,0.159999999,-0.045045045,-0.172413793,-0.059931507,-0.25,-0.37
-0.255813953,0.210982659,0.175675676,0.277955272,-0.243816254,-0.06206089,-0.252873563,-0.708333333,0.197044335,0.432835821,0.327586207,0.825,0.217391304,-0.485380117,-0.410714286,-0.668621701,-0.102803738,-0.1,0.194444444,0.822649572,-1,-1,-0.539970812,-0.424107144,-0.102623457,-0.299437148,-0.330578513,-0.361963191,-0.474308301,-0.47
0.304597701,0.240780911,1,0.687285223,0.245283019,0.276985743,0.559322034,0.017241379,0.515337423,-0.265486726,0.074074074,-1,0.096774194,0.215328467,0.166666667,-0.037564767,-0.021126761,0.111111111,-0.048426151,-0.333333336,-0.205630344,-0.478947455,-0.174045802,-0.189928058,-0.984799483,-0.274885262,-0.138888889,-0.469139466,-0.782608696,0.05
-0.281818182,0.005291005,0.058823529,0.658914729,-0.166666667,0.789699571,-0.466666667,0,0.546391753,-0.151515152,1,-0.272727273,1,0.009259259,0.734693878,0.375,0.074074074,0,0.081632653,-0.078431372,0.115236886,0.118783643,-0.635294117,-0.196850393,1,1,-0.068181818,-0.405405405,-0.25,0.07
0.080745342,0.304347826,0.019607843,0.492957746,0.205298013,0.270171149,-0.2,0.062200957,0.606217617,0.284482759,0.470588235,1,0.3,0.144628099,-0.25,0.15720524,-0.047058824,-0.077419355,-0.296296297,-0.315789473,-1,-0.693562237,-0.10738255,-0.047619047,0.034090909,-0.443556442,0,0.051136364,-0.1875,-0.21
-0.055776892,-0.014851485,-0.217821782,0.194029851,0.219387755,0.519753086,-0.175,0.088709677,0.615141956,-0.0625,0.898550725,-0.547445255,0.93,-0.061371841,-0.470588235,0.352941176,-0.2,-0.227272727,0.338709678,-0.185430465,-0.188811207,-0.235109682,0.646511628,0.1875,-0.288194444,-0.413265306,-0.142857143,-0.032282859,-0.125,-0.17
0.369668246,-0.16084788,0.348314607,0.513368984,0.447284345,0.510843373,0.841269841,-1,1,0.383419689,1,0.252873563,0.68902439,-0.119186047,0.361702128,1,0.580645161,-0.47826087,-0.035294118,-0.035714286,-0.87999998,-0.926703926,-0.775700935,-0.80952381,-0.619662364,-0.368702505,-0.27,-0.424242424,-0.5,-0.27
